source_url|year|project_no|project_name_and_description|sector|type|ward_location_raw
https://www.chamacouncil.gov.zm/?page_id=1127|2022|1|PROCUREMENT OF SCHOOL DESKS FOR CHAMA DAY AND KASANGI Supply and Delivery of 622 School Desks for Chama Day Sec and Kasangani Primary|EDUCATION|procurement|Kampemba and Kaozi CHAMA DAY SEC AND KASANGANI
https://www.chamacouncil.gov.zm/?page_id=1127|2022|2|MATRESSES (4INCHES) FOR HEALTH POSTS procurement of 108 Matresses (4inches) for selected HP in Chama North|HEALTH|procurement|ALL WARDS ALL 23 HEALTH POST
https://www.chamacouncil.gov.zm/?page_id=1127|2022|3|CLASS ROOM BLOCK AT CHIKONTHA PRIMARY Construction of a 1×3 crb at Chikontha Primary School|EDUCATION|Construction|Chisunga Chikontha
https://www.chamacouncil.gov.zm/?page_id=1127|2022|4|BANANA BOAT FOR KAKOMA TO MULILO CROSSING POINT Procurement of banana for Kakoma to Mulilo crossing point|TRANSPORATION|procurement|Chisunga KAKOMA
https://www.chamacouncil.gov.zm/?page_id=1127|2022|5|WILA TO KAKOMA PRIMARY SCHOOL CROSSING POINTS CONSTRUCTION OF WILA TO KAKOMA PRIMARY CROSSING POINTS|INFRASTRUCTURE|Construction|Chisunga KAKOMA-WILA 6 DRILLING OF 8 BOREHOLES DRILLING AND INSTALLATION OF
https://www.chamacouncil.gov.zm/?page_id=1127|2022|8|HAND PUMPS-LOT 3|WATER AND SANITATION|DRILLING|Kamphemba MAKENI B 7 DRILLING OF 8 BOREHOLES DRILLING AND INSTALLATION OF
https://www.chamacouncil.gov.zm/?page_id=1127|2022|8|HAND PUMPS-LOT 2|WATER AND SANITATION|DRILLING|Kamphemba, Luangwa MAKENI B AND KASEMPWE 8 DRILLING OF 6 BOREHOLES DRILLING AND INSTALLATION OF
https://www.chamacouncil.gov.zm/?page_id=1127|2022|6|HAND PUMPS -LOT 4|WATER AND SANITATION|DRILLING|kaozi ZONE 1 9 DRILLING OF
https://www.chamacouncil.gov.zm/?page_id=1127|2022|8|BOREHOLES Drilling and Installation of 8 hand PUMPS- Lot 1|WATER AND SANITATION|DRILLING|Mphalausenga, Luangwa, Kalinkhu GOMBE, KOMBAZI, CHIPAPATE
https://www.chamacouncil.gov.zm/?page_id=1127|2022|10|CLASS ROOM BLOCK AT GOMBE PRIMARY CONSTRUCTION OF A 1X3 AT GOMBE PRIMARY|EDUCATION|CONSTRUCTION|KALINKHU Gombe
https://www.chamacouncil.gov.zm/?page_id=1127|2022|11|CLASS ROOM BLOCK AT CHILUBUNTHA PRIMARY SCHOOL CONSTRUCTION OF A 1X3 AT CHILUBUNTA PRIMARY|EDUCATION|CONSTRUCTION|KAOZI Kaozi
https://www.chamacouncil.gov.zm/?page_id=1127|2022|12|STAFF HOUSE AT KASEMPWE SCHOOL ONE STAFF HOUSE AT KASEMPWE SCHOOL|EDUCATION|CONSTRUCTION|LUANGWA Kasempwe
https://www.chamacouncil.gov.zm/?page_id=1127|2022|13|CLASS ROOM BLOCK AT NGANJO GRAVEL PRIMARY SCHOOL CONSTRUCTION OF A 1X3 AT NGANJO GRAVEL|EDUCATION|CONSTRUCTION|LUANGWA Nganjo Gravel
https://www.chamacouncil.gov.zm/?page_id=1127|2022|14|MWIIMBA HEALTH POST CONSTRUCTION OF A HEALTH POST IN MWIIMBA|HEALTH|CONSTRUCTION|MANTHEPA Mwiimba
https://www.chamacouncil.gov.zm/?page_id=1127|2022|15|KASAMBANDOLA PRIMARY SCHOOL RENOVATION OF A 1X2 AT KASAMBANDOLA PRIMARY|EDUCATION|Renovation|MANTHEPA Kasamabandola
https://www.chamacouncil.gov.zm/?page_id=1127|2022|16|STAFF HOUSE AT MANTHEPA SCHOOL HEALTH POST CONSTRUCTION OF A STAFF HOUSE  AT MANTHEPA HEALTH POST|HEALTH|Construction|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||MANTHEPA Manthepa 17 14KM FEEDER ROAD IN CHILUBANAMA REHABILITATION OF A 14KM FEEDER ROAD IN KAPIMPA|INFRASTRUCTURE|REHABILITATION|MAZONDE Kapimpa
https://www.chamacouncil.gov.zm/?page_id=1127|2022|18|CLASS ROOM BLOCK AT MUNG’ANGA PRIMARY SCHOOL CONSTRUCTION OF A 1X3 AT MUNG’ANGA PRIMARY|EDUCATION|CONSTRUCTION|MAZODE Mung’anga
https://www.chamacouncil.gov.zm/?page_id=1127|2022|19|CLASS ROOM BLOCK AT KANAFULA PRIMARY SCHOOL CONSTRUCTION OF A 1X3 AT KANAFULA PRIMARY|EDUCATION|CONSTRUCTION|MBAZI Kanafula
https://www.chamacouncil.gov.zm/?page_id=1127|2022|20|CLASS ROOM BLOCK AT CHIRI PRIMARY SCHOOL CONSTRUCTION OF A 1X3 AT CHIRI PRIMARY|EDUCATION|construction|MBAZI Chiri
https://www.chamacouncil.gov.zm/?page_id=1127|2022|21|CLASS ROOM BLOCK AT SAMAMBA PRIMARY SCHOOL CONSTRUCTION OF A 1X3 AT SAMAMBA COMMUNITY SCHOOL|EDUCATION|Construction|MPHALAUSENGA Samamba
https://www.chamacouncil.gov.zm/?page_id=1127|2022|22|STAFF HOUSE AT BAMBANDA PRIMARY SCHOOL CONSTRUCTION OF A STAFF HOUSE  AT BAMBANDA PRIMARY|EDUCATION|CONSTRUCTION|
https://www.chamacouncil.gov.zm/?page_id=1127|2022||MPALAUSENGA Bambanda PRIMARY 23 A LABORATORY AT LUNDU DAY SECONDARY SCHOOL CONSTRUCTION OF A LABORATORY AT LUNDU DAY|EDUCATION|Construction|MUCHINGA Lundu DAY SECONDARY
https://www.chamacouncil.gov.zm/?page_id=1127|2022|24|STAFF HOUSE AT LUNDU DAY SECONDARY SCHOOL CONSTRUCTION OF A STAFF HOUSE  AT LUNDU DAY SECONDARY SCHOOL|EDUCATION|Construction|MUCHINGA Lundu DAY SECONDARY
