project_no|description|ward|amount_kwacha|sector|year|constituency
Project 1|FUEL AND MAINTENANCE OF EARTH MOVING MACHINES FOR CHAMA SOUTH|All Wards|3,500,000.00|ROADS|2024|south
Project 2|JOINT CONTRIBUTION HIRING WITH CHAMA NORTH CDF OF A CONSULTANT FOR CONSTRUCTION OF FEEDER ROADS AND BRIDGES USING LOCAL AUTHORITY PLANT AND MACHINERY TO WORK WITH CHAMA TOWN COUNCIL OFFICERS|All Wards|250,000.00|ROADS|2024|south
Project 3|JOINT PROCUREMENT OF EARTH MOVING MACHINES (WATER BOWSER, ROLLER COMPACTOR AND TIPPER TRUCK)|All Wards|5,000,000.00|ROADS|2024|south
Project 4|AMBULANCE FOR HEALTH DEPARTMENT|All Wards|2,700,000.00|HEALTH|2024|south
Project 5|MOTORBIKES FOR THE THREE CHIEF RETAINERS|3 CHIEFDOMS|75,000.00|TRADITION|2024|south
Project 6|CONSTRUCTION OF AN ABLUTION BLOCK FOR THE GIRL’S DORMITORY AT KALOVYA DAY SECONDARY WORKS TO BE DONE BY THE LOCAL AUTHORITY|CHILUBALUBA|600,000.00|EDUCATION|2024|south
Project 7|CONSTRUCTION OF A HEALTH POST AT MUTEMBWA HEALTH POST AND ONE STAFF HOUSE|LUNZI|1,798,973.80|HEALTH|2024|south
Project 8|CONSTRUCTION OF ONE STAFF HOUSE AT ZOOLE HEALTH POST|LUMEZI|650,000.00|HEALTH|2024|south
Project 9|CONSTRUCTION A STAFF HOUSE AT CHANGOZI PRIMARY SCHOOL|CHILUBALUBA|649,757.14|EDUCATION|2024|south
Project 10|PROCUREMENT OF 200 MATTRESSES FOR CHAMA SOUTH BOARDING SECONDARY SCHOOL AND TWO BANANA BOATS|VILIMUKULU & LUNZI|317,620.00|EDUCATION|2024|south
Project 11|CONSTRUCTION OF 1X3 CRB AT CHIFUNDA DAY SECONDARY SCHOOL|CHILENJE|1,200,000.00|EDUCATION|2024|south
Project 12|THIRTY-THREE (33) SECURITY POLE SOLAR POWER LIGHTING FOR SELECTED COMMUNITY CENTRES|MABINGA, CHILENJE, LUNZI & MAPAMBA|1,000,000.00|ROADS|2024|south
Project 13|SOLAR ELECTRIFICATION FOR BULI CLINIC|LUPAMAZI|100,000.00|HEALTH|2024|south
Project 14|ADDITIONAL (25%) FUNDING FOR RAYVIEW CONTRACTORS FOR COMPLETION OF 1X3 CRB AT MANGWERE PRIMARY SCHOOL|LUNZI|64,500.00|EDUCATION|2024|south
Project 15|ROLLER ACCESSORY FOR THE TLB|ALL WARDS|400,000.00|ROADS|2024|south
Project 16|REHABILITATION OF CHIFUNDA CRB|CHILENJE|130,262.00|EDUCATION|2024|south
