area_name|total_both_sexes|total_male|total_female|rural_both_sexes|rural_male|rural_female|urban_both_sexes|urban_male|urban_female|area_km2|population_density
"CHAMA
DISTRICT"|140,784|68,978|71,806|127,861|62,770|65,091|12,923|6,208|6,715|17,472.8|8.1
"Chama
North"|83,781|41,063|42,718|70,858|34,855|36,003|12,923|6,208|6,715|10823.7|7.74
Chisunga|4,686|2,334|2,352|4,686|2,334|2,352|-|-|-|1555.5|3.01
Kalinkhu|7,280|3,517|3,763|7,280|3,517|3,763|-|-|-|406.2|17.92
Kamphemba|17,392|8,416|8,976|4,469|2,208|2,261|12,923|6,208|6,715|72.1|241.22
Kaozi|8,908|4,341|4,567|8,908|4,341|4,567|-|-|-|184.8|48.2
Luangwa|3,947|1,987|1,960|3,947|1,987|1,960|-|-|-|1042.2|3.79
Manthepa|2,033|983|1,050|2,033|983|1,050|-|-|-|151.4|13.43
Mazonde|1,755|880|875|1,755|880|875|-|-|-|1154.7|1.52
Mbazi|5,932|2,948|2,984|5,932|2,948|2,984|-|-|-|175.3|33.84
"Mphalausen
ga"|6,703|3,276|3,427|6,703|3,276|3,427|-|-|-|816|8.21
Muchinga|5,156|2,555|2,601|5,156|2,555|2,601|-|-|-|3497.5|1.47
Mwalala|7,719|3,810|3,909|7,719|3,810|3,909|-|-|-|832.8|9.27
Ndunda|2,386|1,173|1,213|2,386|1,173|1,213|-|-|-|265.2|9.0
Nkhankha|9,884|4,843|5,041|9,884|4,843|5,041|-|-|-|773.8|12.77
"Chama
South"|57,003|27,915|29,088|57,003|27,915|29,088|-|-|-|6546.2|8.71
Bazimu|4,499|2,282|2,217|4,499|2,282|2,217|-|-|-|149.8|30.03
Chibungwe|3,541|1,742|1,799|3,541|1,742|1,799|-|-|-|503.7|7.03
Chilenje|6,453|3,158|3,295|6,453|3,158|3,295|-|-|-|893.4|7.22
Chilubaluba|3,376|1,625|1,751|3,376|1,625|1,751|-|-|-|319.2|10.58
Chipala|1,591|785|806|1,591|785|806|-|-|-|1124|1.42
Lumezi|6,503|3,197|3,306|6,503|3,197|3,306|-|-|-|492.6|13.20
Lunzi|9,789|4,820|4,969|9,789|4,820|4,969|-|-|-|695.8|14.07
Lupamazi|2,507|1,196|1,311|2,507|1,196|1,311|-|-|-|88.7|28.26
Mabinga|8,218|4,013|4,205|8,218|4,013|4,205|-|-|-|459.8|17.87
Mapamba|4,447|2,136|2,311|4,447|2,136|2,311|-|-|-|690.8|6.44
Vilimukulu|6,079|2,961|3,118|6,079|2,961|3,118|-|-|-|1128.4|5.39
