revenue_item|year_2025|year_2026|year_2027|year_2028|year_2029|year_2030
Residential|25200|26964|28851.48|30871.0836|33032.05945|35344.30361
Industrial|7650|8185.5|8758.485|9371.57895|10027.58948|10729.52074
Subitem total|32850|35149.5|37609.965|40242.66255|43059.64893|46073.82435
Personal levy|43995|47074.65|50369.8755|53895.76679|57668.47046|61705.26339
Subitem Total|43995|47074.65|50369.8755|53895.76679|57668.47046|61705.26339
Plan scrutiny fee|45250|48417.5|51806.725|55433.19575|59313.51945|63465.46581
Rentals/lease of Council’s properties|106000|113420|121359.4|129854.558|138944.3771|148670.4835
Non-Land Application form fees|35600|38092|40758.44|43611.5308|46664.33796|49930.84161
Market fees|109500|117165|125366.55|134142.2085|143532.1631|153579.4145
Loading fees (buses, trucks, trains, taxies etc.)|86720|92790.4|99285.728|106235.729|113672.23|121629.2861
Hire of halls|15000|16050|17173.5|18375.645|19661.94015|21038.27596
Refuse disposal|55200|59064|63198.48|67622.3736|72355.93975|77420.85553
Notice of marriage fees|2500|2675|2862.25|3062.6075|3276.990025|3506.379327
Farm produce fee|80000|85600|91592|98003.44|104863.6808|112204.1385
Billboards and banners|15269|16337.83|17481.4781|18705.18157|20014.54428|21415.56238
Hire of Transport and Equipment|16500|17655|18890.85|20213.2095|21628.13417|23142.10356
Penalties|6750|7222.5|7728.075|8269.04025|8847.873068|9467.224182
Sale of Bid Documents|24000|25680|27477.6|29401.032|31459.10424|33661.24154
Telecommunication site rentals|110000|117700|125939|134754.73|144187.5611|154280.6904
Other fees and charges|68408|73196.56|78320.3192|83802.74154|89668.93345|95945.75879
Subitem Total|776697|831065.79|889240.3953|951487.223|1018091.329|1089357.722
Liquor license|27000|28890|30912.3|33076.161|35391.49227|37868.89673
Firearm and ammunition license|8550|9148.5|9788.895|10474.11765|11207.30589|11991.8173
Dog licence|1500|1605|1717.35|1837.5645|1966.194015|2103.827596
Other Licenses|7500|8025|8586.75|9187.8225|9830.970075|10519.13798
Subitem Total|44550|47668.5|51005.295|54575.66565|58395.96225|62483.6796
Pole levy|568|607.76|650.3032|695.824424|744.5321337|796.649383
Trading (Retail) Consumable groceries business|229500|245565|262754.55|281147.3685|300827.6843|321885.6222
Other levies|128120|137088.4|146684.588|156952.5092|167939.1848|179694.9277
Subitem Total|358188|383261.16|410089.4412|438795.7021|469511.4012|502377.1993
Herbalist permit|1000|1070|1144.9|1225.043|1310.79601|1402.551731
Nursery, pre-school permits|3000|3210|3434.7|3675.129|3932.38803|4207.655192
Fire certificate|12600|13482|14425.74|15435.5418|16516.02973|17672.15181
Extension of Business hours permit|12000|12840|13738.8|14700.516|15729.55212|16830.62077
Social gathering permit|3000|3210|3434.7|3675.129|3932.38803|4207.655192
Primary, Secondary and Tertiary permits|121000|129470|138532.9|148230.203|158606.3172|169708.7594
Subitem Total|152600|163282|174711.74|186941.5618|200027.4711|214029.3941
Premium Plot-Residential|380000|406600|435062|465516.34|498102.4838|532969.6577
Subitem Total|380000|406600|435062|465516.34|498102.4838|532969.6577
Surplus/ Deficit from Commercial Ventures|775000|829250|887297.5|949408.325|1015866.908|1086977.591
Other Income|40000|42800|45796|49001.72|52431.8404|56102.06923
Subitem Total|815000|872050|933093.5|998410.045|1068298.748|1143079.661
Constituency Development Fund|72116301|77164442.07|82565953.01|88345569.73|94529759.61|101146842.8
Roads Grant|3200587|3424628.09|3664352.056|3920856.7|4195316.669|4488988.836
Health Grant|5559779|5948963.53|6365390.977|6810968.345|7287736.13|7797877.659
Local Government Equalization Fund|12407498|13276022.86|14205344.46|15199718.57|16263698.87|17402157.79
Grants in lieu of Rates|500000|535000|572450|612521.5|655398.005|701275.8654
Other Grants|49211795|52656620.65|56342584.1|60286564.98|64506624.53|69022088.25
Subitem Total|142995960|153005677.2|163716074.6|175176199.8|187438533.8|200559231.2
Grand Total|145599840|155791828.8|166697256.8|178366064.8|190851689.3|204211307.6
