source_file|category|year|constituency|page|extraction_method|row_data
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Improve agricultural production and productivity
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Promote value addition and manufacturing
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Improve transport and logistics
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Enhance the management of petroleum products
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Strengthen Public health
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Increase access to quality health care
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Strengthen Integrated Health Information Systems
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Enhance welfare and livelihoods of poor and vulnerable people
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Reduce developmental inequalities
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Promote Integrated Environmental Management
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Enhance natural resources management
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Decentralise Public Service Delivery Systems
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Strengthen transparency and accountability mechanisms
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Strengthen public service performance management systems
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|1|table|Strengthen Land Management and Administration
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"CODE | REVENUE DESCRIPTION | APPROVED
BUDGET 2024 |  |  | REVISED
BUDGET 2025 |  | BUDGET
ESTIMATE 2026"
Chama-Town-Council-2024-Output-Based-Budget.pdf|budget|2024|both|2|table|"01 | Local taxes/rates |  |  |  |  |  | "
